company,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
ALEXANDER & BALDWIN INC,M3 IPF,hispanic,2.34,2.34,0.0672,2.34,Not Hispanic,,,,,-2.34,,,2.34,,
ALEXANDER & BALDWIN INC,M4 Occ-Weighted,race,11.17,16.967,0.3588,33.52,NHOPI,0.04,1.15,0.66,,,,-33.52,,22.93,8.73
ALEXANDER & BALDWIN INC,M4 Occ-Weighted,gender,28.18,28.18,0.2052,28.18,Female,,,,28.18,,-28.18,,,,
ALEXANDER & BALDWIN INC,M4 Occ-Weighted,hispanic,3.78,3.78,0.0636,3.78,Hispanic,,,,,3.78,,,-3.78,,
ALEXANDER & BALDWIN INC,M5 Variable-Weight,race,10.9,16.159,0.338,32.72,NHOPI,0.06,3.0,0.74,,,,-32.72,,20.31,8.6
ALEXANDER & BALDWIN INC,M5 Variable-Weight,gender,27.64,27.64,0.2014,27.64,Female,,,,27.64,,-27.64,,,,
ALEXANDER & BALDWIN INC,M5 Variable-Weight,hispanic,4.06,4.06,0.0675,4.06,Hispanic,,,,,4.06,,,-4.06,,
ALEXANDER & BALDWIN INC,M6 IPF+Occ,race,12.22,17.563,0.455,35.93,NHOPI,-0.16,13.16,-0.57,,,,-35.93,,19.17,4.32
ALEXANDER & BALDWIN INC,M6 IPF+Occ,gender,30.89,30.89,0.2243,30.89,Female,,,,30.89,,-30.89,,,,
ALEXANDER & BALDWIN INC,M6 IPF+Occ,hispanic,2.34,2.34,0.0672,2.34,Not Hispanic,,,,,-2.34,,,2.34,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M1 Baseline (60/40),race,6.74,9.981,0.1679,19.6,Black,0.28,2.71,-19.6,,,,-0.6,,3.26,13.97
HOWROYD WRIGHT EMPLOYMENT AGENCY,M1 Baseline (60/40),gender,19.83,19.83,0.1449,19.83,Male,,,,-19.83,,19.83,,,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M1 Baseline (60/40),hispanic,14.0,14.0,0.1044,14.0,Hispanic,,,,,14.0,,,-14.0,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M2 Three-Layer (50/30/20),race,7.15,10.037,0.1836,20.85,Black,0.32,3.55,-20.85,,,,-0.59,,7.79,9.8
HOWROYD WRIGHT EMPLOYMENT AGENCY,M2 Three-Layer (50/30/20),gender,20.0,20.0,0.1461,20.0,Male,,,,-20.0,,20.0,,,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M2 Three-Layer (50/30/20),hispanic,15.46,15.46,0.1148,15.46,Hispanic,,,,,15.46,,,-15.46,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M3 IPF,race,15.67,23.334,0.3871,47.03,White,-0.53,-4.7,-30.27,,,,-0.75,,-10.76,47.03
HOWROYD WRIGHT EMPLOYMENT AGENCY,M3 IPF,gender,19.02,19.02,0.1392,19.02,Male,,,,-19.02,,19.02,,,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M3 IPF,hispanic,5.52,5.52,0.0424,5.52,Hispanic,,,,,5.52,,,-5.52,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M4 Occ-Weighted,race,6.41,9.326,0.1597,18.58,Black,0.2,1.61,-18.58,,,,-0.64,,5.42,12.01
HOWROYD WRIGHT EMPLOYMENT AGENCY,M4 Occ-Weighted,gender,19.52,19.52,0.1427,19.52,Male,,,,-19.52,,19.52,,,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M4 Occ-Weighted,hispanic,14.32,14.32,0.1067,14.32,Hispanic,,,,,14.32,,,-14.32,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M5 Variable-Weight,race,6.74,9.981,0.1679,19.6,Black,0.28,2.71,-19.6,,,,-0.6,,3.26,13.97
HOWROYD WRIGHT EMPLOYMENT AGENCY,M5 Variable-Weight,gender,19.83,19.83,0.1449,19.83,Male,,,,-19.83,,19.83,,,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M5 Variable-Weight,hispanic,14.0,14.0,0.1044,14.0,Hispanic,,,,,14.0,,,-14.0,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M6 IPF+Occ,race,15.67,23.334,0.3871,47.03,White,-0.53,-4.7,-30.27,,,,-0.75,,-10.76,47.03
HOWROYD WRIGHT EMPLOYMENT AGENCY,M6 IPF+Occ,gender,19.02,19.02,0.1392,19.02,Male,,,,-19.02,,19.02,,,,
HOWROYD WRIGHT EMPLOYMENT AGENCY,M6 IPF+Occ,hispanic,5.52,5.52,0.0424,5.52,Hispanic,,,,,5.52,,,-5.52,,
DUCOMMUN INCORPORATED,M1 Baseline (60/40),race,5.63,7.96,0.2102,14.67,Two+,-1.57,-2.91,2.22,,,,-0.18,,14.67,-12.21
DUCOMMUN INCORPORATED,M1 Baseline (60/40),gender,10.15,10.15,0.0737,10.15,Male,,,,-10.15,,10.15,,,,
DUCOMMUN INCORPORATED,M1 Baseline (60/40),hispanic,17.83,17.83,0.1458,17.83,Hispanic,,,,,17.83,,,-17.83,,
DUCOMMUN INCORPORATED,M2 Three-Layer (50/30/20),race,6.13,9.386,0.2284,16.92,Two+,-1.59,-1.28,1.49,,,,-0.16,,16.92,-15.36
DUCOMMUN INCORPORATED,M2 Three-Layer (50/30/20),gender,7.35,7.345,0.053,7.35,Male,,,,-7.34,,7.35,,,,
DUCOMMUN INCORPORATED,M2 Three-Layer (50/30/20),hispanic,17.57,17.57,0.1439,17.57,Hispanic,,,,,17.57,,,-17.57,,
DUCOMMUN INCORPORATED,M3 IPF,race,5.79,8.732,0.2059,17.37,White,-2.19,-11.99,-2.65,,,,-0.34,,-0.18,17.37
DUCOMMUN INCORPORATED,M3 IPF,gender,21.01,21.01,0.1589,21.01,Female,,,,-21.01,,21.01,,,,
DUCOMMUN INCORPORATED,M3 IPF,hispanic,5.86,5.86,0.0521,5.86,Hispanic,,,,,5.86,,,-5.86,,
DUCOMMUN INCORPORATED,M4 Occ-Weighted,race,6.43,9.051,0.2322,16.93,Two+,-1.67,-3.92,2.36,,,,-0.22,,16.93,-13.46
DUCOMMUN INCORPORATED,M4 Occ-Weighted,gender,12.58,12.58,0.092,12.58,Male,,,,-12.58,,12.58,,,,
DUCOMMUN INCORPORATED,M4 Occ-Weighted,hispanic,17.34,17.34,0.1422,17.34,Hispanic,,,,,17.34,,,-17.34,,
DUCOMMUN INCORPORATED,M5 Variable-Weight,race,5.23,7.42,0.199,13.54,Two+,-1.52,-2.4,2.15,,,,-0.16,,13.54,-11.59
DUCOMMUN INCORPORATED,M5 Variable-Weight,gender,8.93,8.93,0.0647,8.93,Male,,,,-8.93,,8.93,,,,
DUCOMMUN INCORPORATED,M5 Variable-Weight,hispanic,18.08,18.08,0.1476,18.08,Hispanic,,,,,18.08,,,-18.08,,
DUCOMMUN INCORPORATED,M6 IPF+Occ,race,5.79,8.732,0.2059,17.37,White,-2.19,-11.99,-2.65,,,,-0.34,,-0.18,17.37
DUCOMMUN INCORPORATED,M6 IPF+Occ,gender,21.01,21.01,0.1589,21.01,Female,,,,-21.01,,21.01,,,,
DUCOMMUN INCORPORATED,M6 IPF+Occ,hispanic,5.86,5.86,0.0521,5.86,Hispanic,,,,,5.86,,,-5.86,,
