company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
ASPLUNDH TREE EXPERT LLC,924588,M4 Occ-Weighted,gender,34.86,34.86,0.3278,34.86,Female,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,34.86,,-34.86,,,,
ASPLUNDH TREE EXPERT LLC,924588,M4 Occ-Weighted,hispanic,9.14,9.14,0.0853,9.14,Not Hispanic,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,,-9.14,,,9.14,,
ASPLUNDH TREE EXPERT LLC,924588,M5 Variable-Weight,race,3.65,4.683,0.145,8.99,White,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,-1.48,1.84,5.83,,,,-0.48,,3.31,-8.99
ASPLUNDH TREE EXPERT LLC,924588,M5 Variable-Weight,gender,36.52,36.52,0.3394,36.52,Female,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,36.52,,-36.52,,,,
ASPLUNDH TREE EXPERT LLC,924588,M5 Variable-Weight,hispanic,10.03,10.03,0.0947,10.03,Not Hispanic,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,,-10.03,,,10.03,,
ASPLUNDH TREE EXPERT LLC,924588,M6 IPF+Occ,race,2.87,4.218,0.146,8.62,White,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,-1.65,-0.8,-5.36,,,,-0.51,,-0.29,8.62
ASPLUNDH TREE EXPERT LLC,924588,M6 IPF+Occ,gender,30.55,30.55,0.297,30.55,Female,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,30.55,,-30.55,,,,
ASPLUNDH TREE EXPERT LLC,924588,M6 IPF+Occ,hispanic,20.9,20.9,0.263,20.9,Hispanic,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,,-20.9,,,20.9,,
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M1 Baseline (60/40),race,12.05,19.307,0.3904,34.81,White,Admin/Staffing (56),1-99,South,Low (<25%),Urban,0.18,-1.35,31.7,,,,0.03,,4.25,-34.81
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M1 Baseline (60/40),gender,44.22,44.22,0.3593,44.22,Female,Admin/Staffing (56),1-99,South,Low (<25%),Urban,,,,44.22,,-44.22,,,,
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M1 Baseline (60/40),hispanic,6.32,6.32,0.1792,6.32,Hispanic,Admin/Staffing (56),1-99,South,Low (<25%),Urban,,,,,6.32,,,-6.32,,
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M2 Three-Layer (50/30/20),race,11.58,18.276,0.3818,33.67,White,Admin/Staffing (56),1-99,South,Low (<25%),Urban,0.22,-1.06,28.96,,,,0.03,,5.52,-33.67
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M2 Three-Layer (50/30/20),gender,43.92,43.92,0.3572,43.92,Female,Admin/Staffing (56),1-99,South,Low (<25%),Urban,,,,43.92,,-43.92,,,,
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M2 Three-Layer (50/30/20),hispanic,7.03,7.03,0.1892,7.03,Not Hispanic,Admin/Staffing (56),1-99,South,Low (<25%),Urban,,,,,7.03,,,-7.03,,
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M3 IPF,race,5.65,9.161,0.2559,16.78,Black,Admin/Staffing (56),1-99,South,Low (<25%),Urban,0.0,-2.22,16.78,,,,0.0,,0.18,-14.73
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M3 IPF,gender,46.57,46.57,0.3754,46.57,Female,Admin/Staffing (56),1-99,South,Low (<25%),Urban,,,,46.57,,-46.57,,,,
INFRASTRUCTURE SERVICES GROUP LLC,JQ3667,M3 IPF,hispanic,0.45,0.45,0.0475,0.45,Not Hispanic,Admin/Staffing (56),1-99,South,Low (<25%),Urban,,,,,0.45,,,-0.45,,
